requirement_id,requirement_title,test_name,test_file,test_line,status
HASKI-REQ-0001,Datenschutzerklärung-Einwilligung vor Login,demo_traceability_tests.py::test_HASKI_REQ_0001_user_authentication_login,demo_traceability_tests.py,7,passed
HASKI-REQ-0001,Datenschutzerklärung-Einwilligung vor Login,demo_traceability_tests.py::test_HASKI_REQ_0001_user_authentication_logout,demo_traceability_tests.py,13,passed
HASKI-REQ-0001,Datenschutzerklärung-Einwilligung vor Login,demo_traceability_tests.py::test_HASKI_REQ_0001_user_authentication_invalid_credentials,demo_traceability_tests.py,19,passed
HASKI-REQ-0002,Bereitstellung wissenschaftlich fundierter Evaluationsberichte,demo_traceability_tests.py::test_HASKI_REQ_0002_data_persistence_storage,demo_traceability_tests.py,25,passed
HASKI-REQ-0002,Bereitstellung wissenschaftlich fundierter Evaluationsberichte,demo_traceability_tests.py::test_HASKI_REQ_0002_data_persistence_retrieval,demo_traceability_tests.py,31,passed
HASKI-REQ-0009,Unmittelbares Feedback zu Aufgaben,"[HASKI-REQ-0009] GraphHandlerService provides immediate feedback for {
  type: 'quiz',
  answer: 'A',
  feedback: 'Richtig: Option A ist korrekt.',
  score: 100,
  durationMs: 3000,
  maxSeconds: 10
} tasks (HASKI-REQ-0009)",/home/fischerd/Development/haski-requirements/NodeGrade/packages/backend/src/graphgateway/graph-handler.req0009.spec.ts,162,passed
HASKI-REQ-0009,Unmittelbares Feedback zu Aufgaben,"[HASKI-REQ-0009] GraphHandlerService provides immediate feedback for {
  type: 'quiz',
  answer: 'A',
  feedback: 'Richtig: Option A ist korrekt.',
  score: 100,
  durationMs: 3000,
  maxSeconds: 10
} tasks (HASKI-REQ-0009)",/home/fischerd/Development/haski-requirements/NodeGrade/packages/backend/src/graphgateway/graph-handler.req0009.spec.ts,162,passed
HASKI-REQ-0009,Unmittelbares Feedback zu Aufgaben,"[HASKI-REQ-0009] GraphHandlerService provides immediate feedback for {
  type: 'freitext-keyword',
  answer: 'Verwendet die Schlüsselbegriffe Architektur und Skalierbarkeit.',
  feedback: 'Keywords erkannt: Architektur, Skalierbarkeit; fehlend: Latenz.',
  score: 85,
  durationMs: 4500,
  maxSeconds: 10
} tasks (HASKI-REQ-0009)",/home/fischerd/Development/haski-requirements/NodeGrade/packages/backend/src/graphgateway/graph-handler.req0009.spec.ts,162,passed
HASKI-REQ-0009,Unmittelbares Feedback zu Aufgaben,"[HASKI-REQ-0009] GraphHandlerService provides immediate feedback for {
  type: 'freitext-keyword',
  answer: 'Verwendet die Schlüsselbegriffe Architektur und Skalierbarkeit.',
  feedback: 'Keywords erkannt: Architektur, Skalierbarkeit; fehlend: Latenz.',
  score: 85,
  durationMs: 4500,
  maxSeconds: 10
} tasks (HASKI-REQ-0009)",/home/fischerd/Development/haski-requirements/NodeGrade/packages/backend/src/graphgateway/graph-handler.req0009.spec.ts,162,passed
HASKI-REQ-0009,Unmittelbares Feedback zu Aufgaben,"[HASKI-REQ-0009] GraphHandlerService provides immediate feedback for {
  type: 'freitext-llm',
  answer: 'Eine längere Argumentation zur Entwurfsmusterwahl.',
  feedback: 'LLM-Einschätzung: gute Struktur, bitte Beispiele ergänzen.',
  score: 92,
  durationMs: 45000,
  maxSeconds: 60
} tasks (HASKI-REQ-0009)",/home/fischerd/Development/haski-requirements/NodeGrade/packages/backend/src/graphgateway/graph-handler.req0009.spec.ts,162,passed
